stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,wheelchair_boarding
22620,22620,"35th Ave SW & SW Thistle St (NB)",,47.5285,-122.376651,21,0
23030,23030,"35th Ave SW & SW Thistle St (SB)",,47.528034,-122.376652,21,0
22600,22600,"35th Ave SW & SW Trenton St (NB)",,47.524893,-122.376653,21,0
23050,23050,"35th Ave SW & SW Trenton St (SB)",,47.524392,-122.376663,21,0
23060,23060,"35th Ave SW & SW Henderson St (SB)",,47.522934,-122.376713,21,0
22590,22590,"35th Ave SW & SW Henderson St (NB)",,47.523085,-122.376707,21,0
22580,22580,"35th Ave SW & SW Barton St (NB)",,47.521298,-122.376769,21,0
23070,23070,"35th Ave SW & SW Barton St (SB)",,47.520821,-122.376778,21,0
22570,22570,"35th Ave SW & SW Cambridge St (NB)",,47.519492,-122.376798,21,0
23080,23080,"35th Ave SW & SW Cambridge St (SB)",,47.519035,-122.376816,21,0
22560,22560,"35th Ave SW & SW Roxbury St (NB)",,47.517728,-122.376888,21,0
22264,22264,"35th Ave SW & SW Roxbury St (SB)",,47.516856,-122.376813,21,0
22550,22550,"35th Ave SW & SW 98th St (NB)",,47.515629,-122.376649,21,0
22540,22540,"35th Ave SW & SW 100th St (NB)",,47.513968,-122.376421,21,0
22530,22530,"35th Ave SW & SW 102nd St (NB)",,47.512116,-122.376164,21,0
22520,22520,"35th Ave SW & SW 104th St (NB)",,47.510195,-122.375911,21,0
22510,22510,"35th Ave SW & SW 106th St (NB)",,47.508419,-122.375936,21,0
22500,22500,"35th Ave SW & SW 108th St (NB)",,47.506336,-122.376013,21,0
22490,22490,"35th Ave SW & SW 110th St (NB)",,47.504569,-122.376083,21,0
22480,22480,"35th Ave SW & SW 112th St (NB)",,47.502637,-122.37615,21,0
22470,22470,"35th Ave SW & SW 114th St (NB)",,47.501237,-122.376175,21,0
20650,20650,"35th Ave W & W McGraw St (NB)",,47.639341,-122.402386,21,0
26870,26870,"N 35th St & Troll Ave N (EB)",,47.650096,-122.347048,21,0
26490,26490,"N 35th St & Troll Ave N (WB)",,47.650146,-122.347377,21,0
26480,26480,"N 35th St & Stone Way N (WB)",,47.649491,-122.343179,21,0
85914,85914,"36th Pl S & S 298th St (SB)",,47.334899,-122.287388,24,0
28300,28300,"N 36th St & 1st Ave NW (EB)",,47.652905,-122.357431,21,0
28310,28310,"N 36th St & Phinney Ave N (EB)",,47.652135,-122.354023,21,0
28350,28350,"N 36th St & Dayton Ave N (WB)",,47.651869,-122.352843,21,0
28370,28370,"NW 36th St & 1st Ave NW (WB)",,47.653086,-122.358234,21,0
30211,30211,"39th Ave S & S Barton St (NB)",,47.522046,-122.283978,21,0
31090,31090,"39th Ave S & S Barton St (SB)",,47.521065,-122.283675,21,0
31111,31111,"39th Ave S & S Cambridge St (SB)",,47.518432,-122.283678,21,0
30190,30190,"39th Ave S & S Cambridge St (NB)",,47.518473,-122.283682,21,0
85956,85956,"36th Pl S & 38th Pl S (NB)",,47.336272,-122.286015,24,0
22410,22410,"39th Ave SW & Marine View Dr SW (SB)",,47.50652,-122.381512,21,0
26400,26400,"N 40th St & Wallingford Ave N (WB)",,47.655645,-122.336108,21,0
26980,26980,"N 40th St & Bagley Ave N (EB)",,47.655577,-122.332317,21,0
26370,26370,"N 40th St & Eastern Ave N (WB)",,47.655558,-122.329393,21,0
39448,39448,"41st Ave SW & SW Holden St (NB)",,47.533849,-122.384672,21,0
39860,39860,"41st Ave SW & SW Portland St (SB)",,47.532662,-122.384678,21,0
39447,39447,"41st Ave SW & SW Kenyon St (NB)",,47.532432,-122.384684,21,0
39870,39870,"41st Ave SW & SW Monroe St (SB)",,47.531306,-122.384694,21,0
39446,39446,"41st Ave SW & SW Elmgrove St (NB)",,47.530944,-122.384698,21,0
39880,39880,"41st Ave SW & SW Southern St (SB)",,47.529708,-122.384704,21,0
39445,39445,"41st Ave SW & SW Rose St (NB)",,47.529461,-122.384707,21,0
12240,12240,"42nd Ave E & E Madison St (SB)",,47.635606,-122.278486,21,0
12230,12230,"42nd Ave E & E Newton St (SB)",,47.636716,-122.278471,21,0
12220,12220,"42nd Ave E & E Lynn St (SB)",,47.638856,-122.278446,21,0
5402,5402,"NE 42nd St & 8th Ave NE (WB)",,47.657514,-122.320372,21,0
9612,9612,"NE 42nd St & 8th Ave NE (EB)",,47.657512,-122.3194,21,0
12460,12460,"43rd Ave E & E Blaine St (NB)",,47.63488,-122.277155,21,0
12470,12470,"43rd Ave E & E Madison St (NB)",,47.636631,-122.27713,21,0
12480,12480,"43rd Ave E & E Lynn St (NB)",,47.639083,-122.2771,21,0
6000,6000,"N 43rd St & Phinney Ave N (EB)",,47.658956,-122.353955,21,0
6020,6020,"N 43rd St & Fremont Ave N (EB)",,47.65895,-122.350273,21,0
6400,6400,"N 43rd St & Fremont Ave N (WB)",,47.65895,-122.350415,21,0
32013,32013,"44th Ave SW & SW Alaska St - Bay 5 (NB)",,47.561391,-122.388145,21,0
36390,36390,"44th Ave SW & SW Alaska St - Bay 6 (NB)",,47.561473,-122.388144,21,0
22340,22340,"44th Ave SW & SW 100th St (SB)",,47.513499,-122.388607,21,0
22360,22360,"44th Ave SW & Marine View Dr SW (SB)",,47.510803,-122.388739,21,0
85902,85902,"45th Pl S & S 288th St (EB)",,47.343375,-122.277524,24,0
85964,85964,"45th Pl S & S 288th St (WB)",,47.343372,-122.277156,24,0
85904,85904,"45th Pl S & S 290th St (SB)",,47.341701,-122.276604,24,0
85962,85962,"45th Pl S & S 290th St (NB)",,47.341479,-122.276607,24,0
85960,85960,"S 294th St & S 292nd St (NB)",,47.339736,-122.276971,24,0
29540,29540,"N 45th St & Stone Way N (WB)",,47.661386,-122.342577,21,0
29231,29231,"N 45th St & Stone Way N (EB)",,47.661381,-122.341674,21,0
29530,29530,"N 45th St & Woodlawn Ave N (WB)",,47.661381,-122.339656,21,0
29232,29232,"N 45th St & Woodlawn Ave N (EB)",,47.661384,-122.3387,21,0
17410,17410,"N 45th St & Wallingford Ave N (EB)",,47.661381,-122.335653,21,0
17310,17310,"N 45th St & Wallingford Ave N (WB)",,47.661384,-122.335571,21,0
29234,29234,"N 45th St & Corliss Ave N (EB)",,47.661367,-122.331043,21,0
29500,29500,"N 45th St & Sunnyside Ave N (WB)",,47.66137,-122.331251,21,0
29480,29480,"NE 45th St & Latona Ave NE (WB)",,47.66134,-122.325404,21,0
29236,29236,"NE 45th St & Thackeray Pl NE (EB)",,47.661348,-122.32636,21,0
29455,29455,"NE 45th St & 9th Ave NE (WB)",,47.661299,-122.318232,21,0
10911,10911,"U District Station - Bay 3 (EB)",,47.661269,-122.313488,21,0
25200,25200,"NE 45th St & Union Bay Pl NE (WB)",,47.661216,-122.293736,21,0
29920,29920,"NE 45th St & Mary Gates Memorial Dr NE (EB)",,47.661211,-122.292475,21,0
29130,29130,"NE 45th St & 36th Ave NE (WB)",,47.661129,-122.289644,21,0
29930,29930,"NE 45th St & 36th Ave NE (EB)",,47.661115,-122.289034,21,0
29952,29952,"NE 45th St & 42nd Ave NE (EB)",,47.661271,-122.282522,21,0
29100,29100,"NE 45th St & 42nd Ave NE (WB)",,47.661271,-122.282746,21,0
64605,64605,"West Lk Sammamish Pkwy SE & Lakemont Blvd (WB)",,47.567247,-122.098464,19,0
65030,65030,"West Lk Sammamish Pkwy SE & 182nd Ave SE (EB)",,47.566778,-122.098269,19,0
64598,64598,"West Lk Sammamish Pkwy SE & 184th Ave SE (WB)",,47.564093,-122.095936,19,0
65034,65034,"West Lk Sammamish Pkwy SE & 184th Ave SE (EB)",,47.563972,-122.095747,19,0
65038,65038,"West Lk Sammamish Pkwy SE & 188th Ave SE (EB)",,47.561205,-122.0887,19,0
65039,65039,"West Lk Sammamish Pkwy SE & 192nd Ave SE (EB)",,47.558665,-122.085508,19,0
64594,64594,"West Lk Sammamish Pkwy SE & 188th Ave SE (WB)",,47.561816,-122.089465,19,0
64591,64591,"West Lk Sammamish Pkwy SE & 192nd Ave SE (WB)",,47.558818,-122.085794,19,0
64589,64589,"West Lk Sammamish Pkwy SE & 193rd Pl SE (WB)",,47.55693,-122.081811,19,0
65042,65042,"West Lk Sammamish Pkwy SE & 193rd Pl SE (EB)",,47.556804,-122.081497,19,0
29600,29600,"N 46th St & Phinney Ave N (WB)",,47.662137,-122.354335,21,0
29225,29225,"N 46th St & Phinney Ave N (EB)",,47.662134,-122.353651,21,0
29580,29580,"N 46th St & Fremont Ave N (WB)",,47.662134,-122.350449,21,0
29227,29227,"N 46th St & Fremont Ave N (EB)",,47.662134,-122.349778,21,0
29200,29200,"N 46th St & Aurora Ave N (EB)",,47.66203,-122.347033,21,0
29557,29557,"N 46th St & Green Lake Way N (WB)",,47.662113,-122.34542,21,0
39473,39473,"49th Ave SW & SW Stevens St (NB)",,47.577772,-122.39423,21,0
39475,39475,"49th Ave SW & SW Stevens St (SB)",,47.577255,-122.394175,21,0
39472,39472,"49th Ave SW & SW Hanford St (NB)",,47.575931,-122.394284,21,0
39476,39476,"49th Ave SW & SW Hanford St (SB)",,47.575553,-122.394642,21,0
39471,39471,"49th Ave SW & SW Hinds St (NB)",,47.574076,-122.39474,21,0
39477,39477,"49th Ave SW & SW Hinds St (SB)",,47.573665,-122.394745,21,0
39470,39470,"49th Ave SW & SW Spokane St (NB)",,47.572284,-122.394757,21,0
39479,39479,"49th Ave SW & SW Spokane St (SB)",,47.571856,-122.394761,21,0
39469,39469,"49th Ave SW & SW Charlestown St (NB)",,47.570574,-122.39478,21,0
37530,37530,"50th Ave NE & NE 68th St (NB)",,47.677869,-122.27428,21,0
37540,37540,"50th Ave NE & NE 70th St (NB)",,47.679258,-122.274309,21,0
37550,37550,"50th Ave NE & NE 73rd St (NB)",,47.681404,-122.274357,21,0
34980,34980,"50th Ave S & S Genesee St (SB)",,47.563808,-122.270761,21,0
34800,34800,"50th Ave S & S Alaska St (NB)",,47.560791,-122.270738,21,0
35000,35000,"50th Ave S & S Alaska St (SB)",,47.56038,-122.270736,21,0
34780,34780,"50th Ave S & S Hudson St (NB)",,47.557259,-122.270714,21,0
9586,9586,"NE 50th St & University Way NE (WB)",,47.664902,-122.313737,21,0
10370,10370,"NE 50th St & University Way NE (EB)",,47.664894,-122.312659,21,0
10380,10380,"NE 50th St & 16th Ave NE (EB)",,47.664877,-122.310446,21,0
10130,10130,"NE 50th St & 19th Ave NE (WB)",,47.664856,-122.307118,21,0
55226,55226,"51st Ave S & S Fletcher St (SB)",,47.518788,-122.270011,21,0
55474,55474,"51st Ave S & S Fletcher St (NB)",,47.518953,-122.270009,21,0
55472,55472,"51st Ave S & Renton Ave S (NB)",,47.517423,-122.27003,21,0
55228,55228,"51st Ave S & S Roxbury St (SB)",,47.516684,-122.270041,21,0
55230,55230,"51st Ave S & S Bond St (SB)",,47.514078,-122.270053,21,0
55470,55470,"51st Ave S & S Bond St (NB)",,47.514187,-122.270051,21,0
55460,55460,"51st Ave S & S Gazelle St (NB)",,47.512458,-122.270063,21,0
55240,55240,"51st Ave S & S Gazelle St (SB)",,47.512231,-122.270066,21,0
55250,55250,"51st Ave S & S Ryan St (SB)",,47.509688,-122.270081,8,0
55450,55450,"51st Ave S & S Ryan St (NB)",,47.509811,-122.270079,8,0
55260,55260,"51st Ave S & S 107th St (SB)",,47.507326,-122.27013,26,0
55280,55280,"51st Ave S & Beacon Ave S (SB)",,47.504484,-122.270178,26,0
